년월,평균기온,최저기온,최고기온,강수량,서리일수,결빙일수,우박일수,가격
Jan.96,-2.4,-7.9,3.6,21.9,15,27,0,"15,143"
Feb.96,-1.4,-7.6,5.7,1.6,17,27,0,"15,228"
Mar.96,4.3,-1.1,10.1,116.5,10,21,0,"16,267"
Apr.96,10.6,3.5,17.6,28,2,7,0,"14,063"
May.96,17.6,10.8,25,57.3,0,0,0,"14,000"
Jun.96,21.2,17.1,26.1,301.8,0,0,0,"15,053"
Jul.96,24.4,20.2,29.9,102.5,0,0,0,"22,087"
Aug.96,25.6,21.1,31.2,102.3,0,0,0,"21,298"
Sep.96,19.8,14.5,27,26.9,0,0,0,-
Oct.96,13.2,7.5,20.5,57.9,6,4,0,"18,333"
Nov.96,6,1.2,11.5,45.9,14,19,0,"16,400"
Dec.96,0,-5.7,7.2,24.6,26,31,0,"19,760"
Jan.97,-3,-8.8,3.1,9.9,22,31,0,"20,000"
Feb.97,0.2,-6.8,7.1,24.8,23,25,0,"19,152"
Mar.97,6.3,-0.4,13.1,22.7,11,15,0,"16,747"
Apr.97,12.5,5.3,19.4,56.5,1,1,0,"20,373"
May.97,17.4,11.2,23.7,150.3,0,0,0,"21,639"
Jun.97,22.4,16.3,29.1,132.2,0,0,0,"19,833"
Jul.97,24.6,20.5,29.6,325.9,0,0,0,"14,872"
Aug.97,25.1,20.8,30.2,146.1,0,0,0,"13,013"
Sep.97,19.5,14.1,26,39.7,0,0,0,"17,449"
Oct.97,12.9,6,20.6,15.4,5,4,0,"17,308"
Nov.97,7.9,2.4,14.3,129.8,8,8,0,"16,587"
Dec.97,1,-3.7,6.8,49.4,25,25,0,"20,987"
Jan.98,-1.3,-6.2,3.6,17.1,24,31,0,"20,818"
Feb.98,2.8,-2.9,8.9,35.4,22,21,0,"19,445"
Mar.98,7.3,0.8,14,27.9,11,15,0,"22,692"
Apr.98,15,9.7,21.1,135,2,2,0,"26,667"
May.98,18.2,11.9,24.3,65.2,0,0,0,"31,333"
Jun.98,20.1,16,24.8,169.6,0,0,0,"35,833"
Jul.98,24,21.1,27.7,274.2,0,0,0,"43,077"
Aug.98,24.4,21.4,28.4,445.5,0,0,0,"41,739"
Sep.98,21.4,16.8,27,158.3,0,0,0,"42,180"
Oct.98,15.6,10.6,21.7,33.2,1,0,0,"20,556"
Nov.98,6.5,0.9,13.4,25.7,17,17,0,"17,733"
Dec.98,1.7,-4.2,8.6,0.8,29,28,0,"23,179"
Jan.99,-0.8,-6.5,5.5,1.3,18,31,0,"25,014"
Feb.99,1,-5,6.9,5.5,13,26,0,"30,889"
Mar.99,6.2,-0.1,12.8,88.3,12,17,0,"34,613"
Apr.99,13.2,6.2,20.2,81.4,2,3,0,"34,667"
May.99,17.5,10.7,24.2,146.1,0,0,0,"31,681"
Jun.99,22.1,16.5,27.9,200,0,0,0,"28,205"
Jul.99,23.9,20.2,28.1,164.3,0,0,0,"24,987"
Aug.99,24.6,21,28.8,286.7,0,0,0,"27,385"
Sep.99,21.8,18.1,26.7,318.9,0,0,0,"30,290"
Oct.99,12.9,8.1,19.2,78.1,2,2,0,"22,590"
Nov.99,6.3,1,13,13.5,13,13,0,"20,513"
Dec.99,-0.3,-6,5.9,2.2,23,30,0,"22,923"
Jan.00,-0.9,-5.8,4.4,11.3,17,29,0,"24,693"
Feb.00,-0.9,-7.1,5.3,0,13,29,0,"26,551"
Mar.00,6.4,-0.7,13.7,23.6,4,19,0,"22,205"
Apr.00,11.9,4.7,18.9,55.5,0,3,0,"21,333"
May.00,18.2,11.5,25.4,38.5,0,0,0,"20,778"
Jun.00,22.1,16.7,28.5,158,0,0,0,"18,160"
Jul.00,24.9,20.5,30.6,226,0,0,0,"17,917"
Aug.00,24.3,20.7,29.1,233.2,0,0,0,"17,333"
Sep.00,18.3,14.3,23.5,237,0,0,0,"17,333"
Oct.00,12.9,7.6,19.9,22.4,1,1,0,"20,145"
Nov.00,5.1,-0.1,12,44.8,18,19,0,"17,256"
Dec.00,-0.8,-6.5,5.9,4.9,24,30,0,"18,027"
Jan.01,-3.6,-8.3,1.4,25.2,18,31,0,"19,275"
Feb.01,-0.5,-6,5.5,47.7,16,26,0,"20,278"
Mar.01,4.8,-1.6,11.9,6.9,8,20,0,"22,308"
Apr.01,12.7,4.3,20.6,14.5,1,3,0,"24,000"
May.01,18.4,11.4,25.8,14.7,0,0,0,"24,000"
Jun.01,21.9,16.9,28.3,194.6,0,0,0,"23,840"
Jul.01,25.1,20.9,30.7,186.7,0,0,0,"30,293"
Aug.01,24.6,19.9,30.3,70.9,0,0,0,"21,753"
Sep.01,19.3,14.1,25.7,135.4,0,0,0,"39,429"
Oct.01,14,9.6,20.2,96.3,0,0,0,"34,083"
Nov.01,4.6,-0.9,12.3,6.6,23,25,0,"23,487"
Dec.01,-1.3,-6.6,4.7,18.6,19,31,0,"27,173"
Jan.02,-0.5,-4.9,4.6,94.8,13,25,0,"29,974"
Feb.02,1.1,-5.2,8.2,0.4,21,27,0,"35,174"
Mar.02,7.2,0.7,14.2,42,7,13,0,"32,373"
Apr.02,12.6,5.6,19.7,140,1,3,0,"34,053"
May.02,16.4,10.4,22.8,94.9,0,0,1,"37,573"
Jun.02,21.3,14.9,28.1,46.4,0,0,0,"38,174"
Jul.02,25,21.1,29.6,164,0,0,0,"40,187"
Aug.02,23.7,20.6,27.6,558.7,0,0,0,"42,000"
Sep.02,19.4,15,25.1,71.3,0,0,0,-
Oct.02,11.6,6.4,18.3,30.7,6,5,0,"23,451"
Nov.02,3.4,-2.4,10,3.6,19,27,0,"21,743"
Dec.02,1.1,-3.5,6.6,39.7,19,22,0,"26,167"
Jan.03,-2.9,-8.5,3,19.5,23,31,0,"30,187"
Feb.03,1.5,-3.5,7.2,36.5,21,24,0,"32,058"
Mar.03,5.7,-0.1,11.9,38,16,19,0,"28,347"
Apr.03,12.3,6.2,18.8,188.4,1,1,0,"27,333"
May.03,17.4,11.1,24.2,170.1,0,0,0,"25,500"
Jun.03,20.3,15.9,25.7,158.8,0,0,0,"25,333"
Jul.03,21.5,18.2,25.7,405.4,0,0,0,"25,333"
Aug.03,22.9,19.7,27.4,296.5,0,0,0,"24,389"
Sep.03,19.7,15.9,24.8,187.5,0,0,0,-
Oct.03,11.8,5.8,19.7,19,5,3,0,"30,578"
Nov.03,8.1,3,14.1,45.7,7,8,0,"28,480"
Dec.03,0.4,-4.8,6.4,13.9,21,28,0,"31,769"
Jan.04,-2.3,-7.9,4.1,5.4,23,30,0,"34,986"
Feb.04,1.5,-4.8,8.5,27.2,14,25,0,"34,444"
Mar.04,5.4,-1.7,12.6,26.9,11,21,0,"38,384"
Apr.04,13.1,5.2,21,93.6,2,3,0,"44,556"
May.04,17.2,11.4,23.3,88.2,0,0,0,"45,778"
Jun.04,21.6,15.5,28.3,291.2,0,0,0,"48,667"
Jul.04,24.9,21,29.7,302,0,0,0,"48,667"
Aug.04,23.9,20,29.1,283.8,0,0,0,"49,594"
Sep.04,19.5,15.4,25.2,143.9,0,0,0,"49,333"
Oct.04,12.7,6.3,20.3,1.5,3,0,0,"35,296"
Nov.04,7.2,1.4,14.6,20.6,15,10,0,"31,333"
Dec.04,0.9,-4.4,7.3,20.7,27,29,0,"48,767"
Jan.05,-2.6,-8,3.3,5.5,22,31,0,"65,016"
Feb.05,-1.7,-7.1,3.8,14,15,25,0,"63,137"
Mar.05,4.2,-2.2,10.8,41.7,11,24,0,"52,879"
Apr.05,13.1,5.3,20.3,50.2,3,3,0,"53,143"
May.05,16.8,10.1,24,45.5,0,0,0,"54,788"
Jun.05,22.1,16.9,28.4,139.5,0,0,0,"55,048"
Jul.05,24.2,20.5,28.7,209.5,0,0,0,"56,303"
Aug.05,23.7,20,28.6,227.6,0,0,0,"56,667"
Sep.05,20.1,16.2,25.1,115.9,0,0,0,"56,667"
Oct.05,13.1,8.3,19.3,20.1,2,1,0,"25,556"
Nov.05,6.5,0,13.8,9.3,18,16,0,"26,667"
Dec.05,-3.7,-9.5,2.3,2.9,30,31,0,"30,909"
